epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1
1,0.683555171585083,0.5708706754118059,0.5643063583815029,0.08926734483941022,0.1541498075594592
2,0.6696860799789429,0.6004606218394833,0.5728081802688885,0.34575380043433535,0.43121881682109764
3,0.6672590331077576,0.6010614329344616,0.5717171717171717,0.35581209281060694,0.4386360433986191
4,0.6646129046440125,0.6042156911830971,0.5799848369977255,0.34975425762944334,0.43636363636363634
5,0.6608795463562012,0.6099734641766384,0.5931248786172072,0.34906846496742483,0.43948769607137717
6,0.6541102893829346,0.6207880638862464,0.6173357299780308,0.35329751971653905,0.44940389648153534
7,0.6467301714897156,0.632303609873329,0.6381514257620452,0.3708995313750143,0.4691340176377042
8,0.6435432926177979,0.6356581384869574,0.6380863039399625,0.3887301405874957,0.48313090418353577
9,0.6355818238258362,0.6472738196565363,0.6637831603229527,0.3946736769916562,0.49501827825962297
10,0.6332192869663239,0.6479246983427628,0.6640550353525703,0.39718825008572406,0.49706765841796596
