epoque,train_loss_moy,train_loss_std,train_accuracy_moy,train_accuracy_std,train_precision_moy,train_precision_std,train_recall_moy,train_recall_std,train_f1_moy,train_f1_std,val_loss_moy,val_loss_std,val_accuracy_moy,val_accuracy_std,val_precision_moy,val_precision_std,val_recall_moy,val_recall_std,val_f1_moy,val_f1_std,val_auc_moy,val_auc_std
1,0.6864463086843491,0.0014864700088274858,0.5601812973782689,0.007081355660490016,0.4961421037927135,0.04411407446260218,0.06283467842344824,0.03140394958269405,0.10808030942157414,0.05162564800144532,0.6777600402832032,0.0031836655432726166,0.5759279344548738,0.017088175026228187,0.22660703695844964,0.2775521188952334,0.13679999999999998,0.1692090989978774,0.17004991765138391,0.2090090515605548,0.6084918115949309,0.010136655647952937
2,0.6712040838479997,0.0010769357555023308,0.5981700384057242,0.0025676774926802234,0.5695098525950387,0.003834355550322692,0.33843869124160597,0.008572363712594417,0.4245296692400773,0.0075684603979790915,0.668070890045166,0.0030713425195437144,0.6013614288767318,0.009172128878449171,0.5700988785558517,0.01740527121183337,0.36746751613166706,0.02134736747746209,0.44648956346166135,0.01735871122726373,0.6160680651656997,0.011979211567135535
3,0.6686344555854797,0.000691339039559297,0.6006483686644328,0.0011988195812965982,0.5711348110356707,0.001216520121072587,0.35458319759965706,0.009601599089863013,0.43745433966185143,0.007302799105145083,0.6670410078048706,0.0030694463667064573,0.5997089752275472,0.007367052134123292,0.5702871480988161,0.017119303040341798,0.3567288409703504,0.04216812436724008,0.4368693316108003,0.03214595842750912,0.6208131778072485,0.011534334625706922
4,0.6670809640407562,0.0009687017340251392,0.6014744834507921,0.0029681623476217633,0.5724630937184977,0.006140216021405001,0.35686922213377426,0.01236875664138632,0.4395001273179394,0.009132284618772588,0.666420613670349,0.00393870831927178,0.6009604895453318,0.010456495894309352,0.5710464953851637,0.027886354105700097,0.37879513191211306,0.04721568684042501,0.4523433497015922,0.02621414902803413,0.6245040244066774,0.01153668194210605
5,0.6653353086471558,0.001101903317977209,0.6046411866883332,0.0028061642782693822,0.5790657578785355,0.006045564012408933,0.357211687383912,0.011307069732055874,0.4417249931076695,0.008400832020267857,0.6632957120895385,0.0035059986157666297,0.6062681005237518,0.005837793297440618,0.580291013239104,0.011168631641291199,0.3691769664297966,0.046725986552607755,0.44920336154993706,0.034406276054907495,0.630973196451494,0.010938161056326218
6,0.662459642291069,0.0014030645466714352,0.6077078470223674,0.00362295930812917,0.5889824590624485,0.009729096138006014,0.3468393974649439,0.012088334950211808,0.43636365528653737,0.008334230963552541,0.6612428144454956,0.004028965815393467,0.6108244343987821,0.008075708733072784,0.5875030612994248,0.02330909854370571,0.3906666013232051,0.06979839021899298,0.46422684611944626,0.045240518712585824,0.6421503435408095,0.014732442647274833
7,0.6580988978624344,0.0013437733479337748,0.6169578216671617,0.00425142924325479,0.6105565855412042,0.01312003249752428,0.3481541730451289,0.010252856528082667,0.44321235566964734,0.006354148102234593,0.6587999599456787,0.004732139426616193,0.6137279260567949,0.0075109595939329135,0.6273547876132992,0.05451942778740241,0.34599663481172915,0.13466770289904673,0.4222762246223478,0.1068862918324511,0.6592396515519034,0.011271185059353686
8,0.6518952703475952,0.0015084623831909348,0.6239297132311544,0.004254129988259617,0.626074511057343,0.01177913769764764,0.3521822750188802,0.01490679964117632,0.4505040711838122,0.011120331460599524,0.6496909979820252,0.005160859699027443,0.6259446867422536,0.007309369377545478,0.6229807970069083,0.041910662036450816,0.3944533202646411,0.0688861153982315,0.4763084774519914,0.04497890985901561,0.6681750373699774,0.014242040407263814
9,0.6467613302707672,0.0018920418051215813,0.633342423371406,0.0041497494855398465,0.6410314498243094,0.010025729808345239,0.3707561937419631,0.01106132218963928,0.4696571115992989,0.008899006672800887,0.6449475368499755,0.004781019771448385,0.6337055144669443,0.0042867112926197465,0.6409309431143078,0.046750754069657265,0.4015360287511231,0.09276758792493792,0.4826836287776974,0.06632633072080561,0.6751586614469371,0.004618991323832409
10,0.6416642295479774,0.0015170746289686525,0.6395884733585782,0.002003505346740901,0.6488484496501913,0.005508118461418552,0.386587063458045,0.012603289417595124,0.48433453420466527,0.009027516428827792,0.6423042521476745,0.008179643214996295,0.6371602961388265,0.006126960885982709,0.6453206531676872,0.03909737287182677,0.40083737646001794,0.07145309136741955,0.4880377355740926,0.04161340874938776,0.6809875657960792,0.010124721589975537
