epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1
1,0.5950572900295258,0.6759625494417464,0.6840148698884758,0.48371242427706024,0.5666845206213176
2,0.5299302975654602,0.736744605217043,0.7340753654284565,0.6256715053148931,0.6755522645933605
3,0.5196988359928131,0.7438041355830372,0.7409766454352441,0.6382443707852326,0.6857844642308873
4,0.5160708033561706,0.7461072447804536,0.7449387320191796,0.6392730597782603,0.6880728301654672
5,0.5037939266681671,0.7482100836128773,0.7437106918238994,0.6487598582695165,0.6929979854709725
6,0.501216149187088,0.7499624493065639,0.7436097054625666,0.6550462910046863,0.696524064171123
7,0.493800644159317,0.755670154708857,0.7488743085037952,0.665333180934964,0.7046362425856434
8,0.492597546005249,0.754869073248886,0.7477176289057477,0.6646473882729454,0.7037395619024568
9,0.48935767011642456,0.7576227907675361,0.7537662337662338,0.6633901017259115,0.7056963949176241
10,0.4865585132598877,0.7598758323737045,0.7581972566949706,0.6633901017259115,0.7076322848085833
