epoque,train_loss_moy,train_loss_std,train_accuracy_moy,train_accuracy_std,train_precision_moy,train_precision_std,train_recall_moy,train_recall_std,train_f1_moy,train_f1_std,val_loss_moy,val_loss_std,val_accuracy_moy,val_accuracy_std,val_precision_moy,val_precision_std,val_recall_moy,val_recall_std,val_f1_moy,val_f1_std,val_auc_moy,val_auc_std
1,0.6717764411211016,0.000710878155679128,0.5866169055233975,0.0025439806919235453,0.5520559173976471,0.005607928871333435,0.2992340375155635,0.01828510402384613,0.38773853905540656,0.01497852365013608,0.6695995644569397,0.004638048896567071,0.5873924278156909,0.01765808436275345,0.6525513046809751,0.17842410789141272,0.35253313730294866,0.2424640242299491,0.36896324254749713,0.21753551149305425,0.639184792548688,0.02106722429279944
2,0.6614901392102241,0.0030910359130136675,0.6064685749652127,0.006177296365592459,0.5797492214627352,0.008387977452136229,0.36838422631804546,0.02071870354562732,0.4502786627148172,0.017561629820373143,0.6533832927703858,0.004517758905769483,0.6163322079489697,0.008810084772394342,0.6964557311654859,0.08888733904433703,0.2652711917013804,0.12039053324480202,0.3601613521735091,0.10911317735537795,0.6665825237948958,0.014757705008750916
3,0.6481805491685867,0.0034690074378135615,0.6273343233829299,0.004086471805410857,0.6126661741705466,0.006135305764167965,0.4056461208744106,0.007858070817264813,0.4880991663750779,0.007534083377679929,0.6419620686531067,0.006388134166464737,0.6402150284249905,0.012488167020899898,0.6275669763725465,0.03060176695847018,0.4646254676141468,0.11488170836909131,0.5221993633169519,0.07335918542313463,0.6836808712546436,0.013105603996419923
4,0.6383041642308235,0.0029628841430801647,0.6372852297354761,0.004251313677474795,0.6227068739190945,0.006348164059411311,0.4362495172779785,0.006564420915125773,0.5130592781841593,0.00666924461612657,0.636428869342804,0.00461931657546972,0.6390624610257063,0.009620508500052553,0.6462800975576041,0.060734725911291476,0.44521114106019766,0.13644779753239297,0.5068977901053255,0.07889677442997638,0.6933459574135995,0.010394410918854707
5,0.6318404278755188,0.0023270896570657096,0.6462348563306713,0.0029423426080359963,0.6346406300146666,0.003745823748841788,0.4534229379707305,0.009488280862944853,0.5288900930025753,0.007011087787212389,0.6287397417068481,0.006150816084593738,0.6460221997577091,0.007364890434128989,0.6456437521780437,0.04909711119891326,0.4609657110185412,0.10389687920517729,0.5261884770755776,0.05479377090332312,0.7005711948628294,0.009639416602609023
6,0.6286235088706016,0.001968785242282193,0.6510413925662586,0.0031718833939731617,0.6406914248727205,0.004200455832240467,0.4630244034862123,0.007845966714428894,0.5375307584180101,0.00621198285154956,0.6283910857200623,0.0031730690403174093,0.6493762420852807,0.008191487550164798,0.6658162431547898,0.04633078794148253,0.4234733316997469,0.09142652056539574,0.5083676291250727,0.053838537662322446,0.701938674051428,0.009131219146426908
7,0.6253625103235244,0.0014866296051162088,0.6536574434819402,0.003472461843523852,0.644035868032826,0.005166368463455723,0.4679964403077991,0.005497092197276234,0.5420752415645196,0.00526173547836158,0.63555655503273,0.019173730570297278,0.6433169529011915,0.020339089781344875,0.7052822085517446,0.09424642463124093,0.39007177979253455,0.1702737760718801,0.46413968842682973,0.13610357746112767,0.7017670789277941,0.01192332604299507
8,0.6230399305343628,0.002830336102626254,0.6563735506181442,0.004391552102468879,0.6470229493392903,0.003831041354781399,0.4740825750617435,0.01324759439794319,0.5471443749323284,0.010208315044830853,0.6221408255577088,0.009743634714603669,0.6540324253589395,0.009934297456584203,0.6289647865954198,0.03010171686262751,0.5296527975169485,0.07739311985511392,0.57013708835255,0.033134556896544834,0.7050047654649233,0.013043843409127462
9,0.6204022020220756,0.005624932705307901,0.6595779182921356,0.004366461597722036,0.6508439873609058,0.004564595294724071,0.48062639560753573,0.010792091431468892,0.5528954280562015,0.008602905822726,0.6185438015937805,0.004629070603759187,0.659890549215563,0.007674378835724313,0.66465462380692,0.03922626718120049,0.4652056522094258,0.05759466065445485,0.5431677635890043,0.02737544967138842,0.7097258956285872,0.008847344250960383
10,0.6159646256446838,0.005977164628564627,0.6635707676501903,0.006438500142718567,0.6544481498345147,0.008721907054902637,0.4913130283918111,0.010394914219544043,0.5612554634691463,0.00992135734138552,0.6158416153430938,0.006283058387638782,0.6615432660881184,0.009445993849941742,0.6691236588197285,0.038544688112024494,0.4648483541615618,0.06409036084785501,0.5436186996574698,0.033921520638561894,0.7140985664966724,0.01012616310029196
