taille_entrainement,accuracy_train_moy,accuracy_train_std,accuracy_val_moy,accuracy_val_std,f1_train_moy,f1_train_std,f1_val_moy,f1_val_std,precision_train_moy,precision_train_std,precision_val_moy,precision_val_std,recall_train_moy,recall_train_std,recall_val_moy,recall_val_std,logloss_train_moy,logloss_train_std,logloss_val_moy,logloss_val_std
1594,0.9770388958594729,0.000501882057716463,0.7116984061722927,0.0039790181276158874,0.972684898073499,0.00014403744973696673,0.6166310728114484,0.0076817480168352836,0.993897020573932,0.00010308441945814372,0.739959308367666,0.005686499040793562,0.9523594027494575,0.0003709794119581389,0.5286449399656947,0.010839853014206154,0.18785902019103318,0.0006935300788031283,0.5516225382907054,0.001966203058995112
3189,0.9673251803073063,0.0017560363750392049,0.7504763537190803,0.006912299273740225,0.9608612251753273,0.0019624203544038378,0.6837272059662806,0.007951219088947253,0.9893306289253287,0.0018272810166808373,0.7701684639975229,0.011575756828611363,0.9339845511105768,0.0020798893931652353,0.6147512864493997,0.005990074718677544,0.1917530524742484,0.0012816553099395667,0.5004252471916643,0.005020587557505832
4784,0.9646739130434783,0.0020480683468086826,0.7741043111638163,0.006628097740009809,0.957807388847326,0.002360450040239526,0.7196938841022761,0.008337517946944685,0.9886625067819764,0.0007620774843732598,0.7897802273943991,0.009341026779834,0.9288288713773849,0.004254599814175061,0.6610634648370498,0.00878644835325265,0.19340136049170503,0.0014784921045642289,0.46577004228157337,0.0033906623357017095
6378,0.9616180620884289,0.001791515441465757,0.7930169941421512,0.005585371469684074,0.9541438556018227,0.0021264656149114344,0.7463353281041709,0.007752132549833309,0.9846213492826752,0.0016137439081481044,0.8070728670252952,0.008220609132949044,0.9255068252631862,0.003962344999110849,0.6942252715837621,0.011913382747296983,0.19490172519814716,0.0016544282267220783,0.44203014427509846,0.006131845402580073
7973,0.9594381035996488,0.0009099890704737191,0.807013297481743,0.004754279016930458,0.951768283153001,0.0012435624073712402,0.7653136609344722,0.006190166377765807,0.9830000758289182,0.0005479307765884583,0.8202237741001701,0.005941831536644374,0.9224657529656028,0.002806584105653884,0.7173241852487136,0.007844515899893639,0.1953439651134099,0.0012599913162588104,0.4211027230735924,0.004038252254412508
9568,0.9563127090301003,0.00016191401949024425,0.8204576816449748,0.004181870100315711,0.947790408804719,0.0003710595801866531,0.7821256069112569,0.005992178339278607,0.9808705062566115,0.001153027464561714,0.8361711030715467,0.004582611098250782,0.9168715728715728,0.0013101868260621762,0.7347055460263008,0.009621810848696462,0.19522127863236052,0.0009618105901120001,0.4008604463312319,0.0019521435291217145
11162,0.9533775309084394,0.0006118391356016385,0.8347545982043247,0.002849216721041609,0.9443866331752716,0.0007799120862659414,0.801145628366187,0.003948569709666511,0.9789139688643514,0.0020845045991727046,0.8485275392357977,0.004811160288101608,0.9122174506053197,0.001614089049759761,0.7588336192109777,0.007343439386164567,0.19615464446954062,0.0008386684468640976,0.3818847868782349,0.004146688495255567
12757,0.951900917143529,0.0010981083958822439,0.8463428244151746,0.004965679825178463,0.9429462500806732,0.0013040589976275668,0.8158915921013721,0.006499749124729986,0.9764329162705,0.002017158905380798,0.859933513368925,0.006492989321128225,0.9116818685650058,0.0011045820417870374,0.776214979988565,0.009985931592736782,0.19695592588425043,0.0009492157543667186,0.36431369179670675,0.007240409346616387
14352,0.9498049052396877,0.0004918997378685341,0.8554227355312192,0.00341134642697074,0.9407270572145695,0.0005676742160432988,0.8273749578144525,0.005044502043149597,0.9745660263022053,0.0014735624508632058,0.8686140128464614,0.001881231286654263,0.9091605616605616,0.0003166256520696049,0.789937106918239,0.009571395292323204,0.1973259547603159,0.0008215998005023966,0.3509389707052472,0.006696702943491043
15947,0.9475387220166802,0.0007297842365824871,0.8648539137042353,0.002455083542024268,0.938111389560911,0.0008438891536918639,0.8387512275043582,0.003255239383693196,0.9721929350566814,0.00205097887945129,0.8799844341500419,0.004579753669898087,0.9063438844457632,0.0016734409064773988,0.8012578616352201,0.0064646284848954285,0.19798123068103696,0.0010591065341438747,0.3368319502343521,0.006225388471852459
