false_positive_rate,true_positive_rate,threshold,specificity,sensitivity,youden_j
0.0,0.0,inf,1.0,0.0,0.0
0.0,0.00102880658436214,0.9999565,1.0,0.00102880658436214,0.00102880658436214
0.0,0.021604938271604937,0.99971455,1.0,0.021604938271604937,0.021604938271604937
0.0008019246190858059,0.021604938271604937,0.9997125,0.9991980753809142,0.021604938271604937,0.02080301365251913
0.0008019246190858059,0.23045267489711935,0.9730526,0.9991980753809142,0.23045267489711935,0.22965075027803356
0.0016038492381716118,0.23045267489711935,0.97270083,0.9983961507618284,0.23045267489711935,0.22884882565894774
0.0016038492381716118,0.2726337448559671,0.96357006,0.9983961507618284,0.2726337448559671,0.27102989561779545
0.0024057738572574178,0.2726337448559671,0.96328425,0.9975942261427426,0.2726337448559671,0.27022797099870965
0.0024057738572574178,0.2829218106995885,0.96112627,0.9975942261427426,0.2829218106995885,0.28051603684233106
0.0032076984763432237,0.2829218106995885,0.9598499,0.9967923015236568,0.2829218106995885,0.27971411222324527
0.0032076984763432237,0.3004115226337449,0.9517181,0.9967923015236568,0.3004115226337449,0.29720382415740165
0.00400962309542903,0.3004115226337449,0.95057535,0.9959903769045709,0.3004115226337449,0.29640189953831586
0.00400962309542903,0.32407407407407407,0.9416218,0.9959903769045709,0.32407407407407407,0.32006445097864505
0.0048115477145148355,0.32407407407407407,0.94158655,0.9951884522854851,0.32407407407407407,0.3192625263595592
0.0048115477145148355,0.3786008230452675,0.9121088,0.9951884522854851,0.3786008230452675,0.3737892753307527
0.0056134723336006415,0.3786008230452675,0.911395,0.9943865276663993,0.3786008230452675,0.37298735071166683
0.0056134723336006415,0.39094650205761317,0.90668344,0.9943865276663993,0.39094650205761317,0.3853330297240125
0.006415396952686447,0.39094650205761317,0.9063766,0.9935846030473136,0.39094650205761317,0.3845311051049267
0.006415396952686447,0.39609053497942387,0.9001717,0.9935846030473136,0.39609053497942387,0.3896751380267374
0.007217321571772253,0.39609053497942387,0.90014464,0.9927826784282278,0.39609053497942387,0.38887321340765163
0.007217321571772253,0.4063786008230453,0.8953852,0.9927826784282278,0.4063786008230453,0.39916127925127304
0.00801924619085806,0.4063786008230453,0.8947381,0.991980753809142,0.4063786008230453,0.3983593546321872
0.00801924619085806,0.4166666666666667,0.885012,0.991980753809142,0.4166666666666667,0.4086474204758086
0.008821170809943865,0.4166666666666667,0.88493073,0.9911788291900562,0.4166666666666667,0.4078454958567228
0.008821170809943865,0.41975308641975306,0.88299155,0.9911788291900562,0.41975308641975306,0.4109319156098092
0.009623095429029671,0.41975308641975306,0.8826862,0.9903769045709703,0.41975308641975306,0.4101299909907234
0.009623095429029671,0.4228395061728395,0.87741584,0.9903769045709703,0.4228395061728395,0.4132164107438098
0.010425020048115477,0.4228395061728395,0.87714237,0.9895749799518845,0.4228395061728395,0.41241448612472403
0.010425020048115477,0.42386831275720166,0.8768959,0.9895749799518845,0.42386831275720166,0.4134432927090862
0.011226944667201283,0.42386831275720166,0.87654626,0.9887730553327987,0.42386831275720166,0.4126413680900004
0.011226944667201283,0.43621399176954734,0.8693475,0.9887730553327987,0.43621399176954734,0.424987047102346
0.012028869286287089,0.43621399176954734,0.86899835,0.9879711307137129,0.43621399176954734,0.42418512248326024
0.012028869286287089,0.43724279835390945,0.8687561,0.9879711307137129,0.43724279835390945,0.42521392906762234
0.012830793905372895,0.43724279835390945,0.8686663,0.9871692060946271,0.43724279835390945,0.42441200444853655
0.012830793905372895,0.4382716049382716,0.8682025,0.9871692060946271,0.4382716049382716,0.4254408110328987
0.0136327185244587,0.4382716049382716,0.8676058,0.9863672814755413,0.4382716049382716,0.4246388864138129
0.0136327185244587,0.44238683127572015,0.8641332,0.9863672814755413,0.44238683127572015,0.42875411275126146
0.014434643143544507,0.44238683127572015,0.86404395,0.9855653568564555,0.44238683127572015,0.4279521881321756
0.014434643143544507,0.4547325102880658,0.85197335,0.9855653568564555,0.4547325102880658,0.44029786714452135
0.015236567762630313,0.4547325102880658,0.85167587,0.9847634322373697,0.4547325102880658,0.4394959425254355
0.015236567762630313,0.4588477366255144,0.8491182,0.9847634322373697,0.4588477366255144,0.4436111688628841
