train_sizes,accuracy_train_mean,accuracy_train_std,accuracy_test_mean,accuracy_test_std,f1_train_mean,f1_train_std,f1_test_mean,f1_test_std,precision_train_mean,precision_train_std,precision_test_mean,precision_test_std,recall_train_mean,recall_train_std,recall_test_mean,recall_test_std,logloss_train_mean,logloss_train_std,logloss_test_mean,logloss_test_std
1797,0.9836393989983305,0.0023372287145242087,0.7244782338673175,0.008354406190085123,0.9807396688582006,0.0029507062191324158,0.6589602944169253,0.012884241065709042,0.9974751805136475,0.00038310122264021427,0.7195778540498775,0.010075678471938071,0.9645773772217063,0.006010798926140315,0.6079563255966003,0.01762837311093122,0.08076363116138154,0.0033817180387774363,0.5710815572446886,0.01259935261979475
3595,0.9780528511821975,0.0010140598683481459,0.7541178133566717,0.010472057952429855,0.9740754877656073,0.0011700457335005244,0.7048631418056094,0.012923641851107632,0.9938986201353716,0.00046136965358945214,0.7432159443800475,0.013713136538732327,0.9550326022922022,0.0026796568189806826,0.6703644328211834,0.014493480646748366,0.09151099609685527,0.0014964560792697353,0.5360580912296684,0.013097728757515604
5392,0.9750927299703266,0.0008541230667410487,0.7778494067427468,0.010289086736881338,0.9705929674302454,0.0009593827620958562,0.7350104694387788,0.013066813793633355,0.9910615370571803,0.0012976599947601758,0.7695523218302933,0.011688585765544338,0.9509575980211178,0.0022043138434273157,0.7035127819548872,0.015798687179390338,0.09660825902644381,0.0004819813246776281,0.5000853285304513,0.018111562587725578
7190,0.9733936022253131,0.0004128184166802713,0.7973263699352834,0.010076609746294166,0.9686080942417916,0.0004767326087512339,0.759870544774982,0.012858511510857732,0.9890787027243857,0.0017581645650533858,0.7897260614582099,0.010872687145778503,0.9489712464977483,0.0010562670919330658,0.7323173586139262,0.017234622241022346,0.1018833841672794,0.0005839307928626061,0.47590269979217376,0.0175266445846473
8987,0.9713920106820965,0.0004572988224777071,0.8116956966982005,0.007904445508425688,0.9662199764753151,0.0005045555668138681,0.7776132598729284,0.01059222883193642,0.9868765343659718,0.0007724854703515172,0.8053079622294605,0.006723158699144867,0.9464120392439787,0.0012170622427141748,0.7518610003269043,0.015589798851124185,0.10691078106651078,0.0007933246121500571,0.4542127301574517,0.01565040733906555
10785,0.9695410292072323,0.0007738208209070402,0.823261042715224,0.007946786853499107,0.9640866598145654,0.0008921788613112403,0.7919895964266455,0.009625229271793753,0.9847690443532529,0.0012514580367587493,0.8174086637111945,0.010394166243869763,0.9442562721645069,0.0010794989074332832,0.7682059496567505,0.012715219270479116,0.1117296846470363,0.0007573165985884198,0.4287798588592312,0.013116708037270011
12582,0.9676204101096804,0.0006517246860594294,0.8379321234103407,0.008849367735274552,0.9618854922126922,0.0007592393669607731,0.8093371216539248,0.010963333296177678,0.9828898301089606,0.001515266812257177,0.8348052833043612,0.009822826339802939,0.9417618495783107,0.0008449207976911931,0.7854645308924485,0.0144678839358401,0.11502600290084566,0.000734449581606976,0.3999514514986377,0.015331406437720893
14380,0.9665646731571627,0.0008701247465711553,0.850698946317374,0.007412748446155572,0.9608320087183454,0.0010949694392607993,0.8244916291377056,0.009256167822117582,0.9812011371360236,0.0009877736988384372,0.849773942211781,0.008775534208011216,0.9412939679030652,0.001955728582701841,0.800780516508663,0.01348135445973745,0.11629830031963566,0.0012603545124141662,0.3753409752288855,0.01505342833517072
16177,0.9647771527477284,0.000626024053961649,0.8615130904565056,0.006309259123857353,0.9589998399508101,0.0007386605092758127,0.8378079283020355,0.007297456979672292,0.9793519504138795,0.0008492619614752974,0.8603038372726732,0.009854285130005322,0.9394771859550538,0.0010652828144814839,0.8165525988885255,0.009623694298516873,0.11931894645136187,0.000734958741218856,0.3507130434943553,0.017113865910449295
17975,0.9627927677329626,0.0006062701630409076,0.8729287374505199,0.005068616328953893,0.956641653253192,0.0007158321332956546,0.8514738260198111,0.006268886528912997,0.9771163038180626,0.0009254950113800748,0.8723763393561302,0.007040832436554397,0.9370086545633409,0.0011552685082480668,0.8316402745995424,0.01031562347926326,0.12208005344307345,0.0006492592806025746,0.3283057129613824,0.01523296414554163
