epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1
1,0.590421024608612,0.6848745806839233,0.7176804397942897,0.46256715053148934,0.5625521267723103
2,0.5221475034713745,0.7414008912031242,0.7425554953979426,0.6270430906389302,0.6799281155109376
3,0.5091385927677154,0.7496620437590747,0.7505681058681994,0.6417876328723283,0.6919285274183611
4,0.49784782412052153,0.7552696139788715,0.7551209197832695,0.6531032117956338,0.7004167688158862
5,0.49505134167671205,0.7590246833224854,0.7584712371946415,0.660075437192822,0.7058607834749129
6,0.4847627279043198,0.7643318479947929,0.7626039501039501,0.6708195222311121,0.7137731833384008
7,0.4803225855350494,0.7655835377759976,0.7643312101910829,0.6720768087781461,0.7152414548108502
8,0.4736487926006317,0.7686877284333851,0.7632283564962387,0.6841924791404732,0.7215525554484089
9,0.46756635315418243,0.7710409052220498,0.7656488549618321,0.687850040004572,0.7246673490276356
10,0.46833639669418337,0.772993541280729,0.7719705768486256,0.6837352840324609,0.725178809552673
