epoque,train_loss_moy,train_loss_std,train_accuracy_moy,train_accuracy_std,train_precision_moy,train_precision_std,train_recall_moy,train_recall_std,train_f1_moy,train_f1_std,val_loss_moy,val_loss_std,val_accuracy_moy,val_accuracy_std,val_precision_moy,val_precision_std,val_recall_moy,val_recall_std,val_f1_moy,val_f1_std,val_auc_moy,val_auc_std
1,0.6038361191272735,0.0032549738600173143,0.6732965749239455,0.004927381651949903,0.6898896972151962,0.01762802746827222,0.46393929336844036,0.02737543033691903,0.5539511916910211,0.014756067006491262,0.536178606557846,0.0033314069104970227,0.7322882070289414,0.006075823075893953,0.7428153290924423,0.007554019741205618,0.5954978354978355,0.03162857094271234,0.6604083134846266,0.01696605245129838,0.8091527991036654,0.004329196347487215
2,0.529097091281414,0.002581352265491486,0.7372953138495839,0.002076147206954331,0.740078063488059,0.0031207822225308205,0.6169846671973547,0.005773732204990035,0.6729291209519624,0.003482807814499956,0.511611853647232,0.003523869682046509,0.7499122776780941,0.005819027764000562,0.7584022102378972,0.009917613423433985,0.6301266029567916,0.021352412722862597,0.6880445288717599,0.011197162076956877,0.8269082951302973,0.004654346617079971
3,0.5133230054020881,0.0027862821194723562,0.7486606619303997,0.0025128956615000173,0.7499765264897501,0.004761640842280077,0.6394159451350193,0.0009316533710327209,0.6902916093902378,0.0023264635793769257,0.50752210688591,0.012530568773472854,0.7511137544865484,0.008168681148026734,0.7696007068108633,0.023492583146161154,0.6195052193089928,0.044656138485174,0.6847450768745345,0.021830232253649644,0.8312495215133427,0.007157132207779313
4,0.503669280576706,0.0010977430319754824,0.7528162616676346,0.0015609741758732657,0.7523778701156199,0.0021169226313195347,0.6494740350662339,0.005105830707843062,0.6971346828848806,0.0028058109324688787,0.49621360397338865,0.004392958798121057,0.7584738810343175,0.0027078305155101316,0.7745302150568668,0.020132283187109353,0.6347009719839909,0.024054668128505458,0.696982621744629,0.00744728904536757,0.8374442953239394,0.0030725899739979428
5,0.497044044315815,0.002333588470647137,0.7575351601912796,0.003221608329122129,0.7565504099303227,0.004126584294605265,0.6583323005327293,0.005834738487530441,0.7040203173724832,0.004390285101319367,0.4914735499858856,0.005241846056512357,0.7605768477497221,0.005787053611359198,0.7635515597552802,0.013884292180559017,0.6583591603365189,0.03627229613533002,0.7061593355039083,0.01584185612665539,0.8400609039381453,0.0045396126083437115
6,0.4900482583761215,0.0038312659405138286,0.7597756336704002,0.003322311142231466,0.7573458732936762,0.002389346787408575,0.6644756557059172,0.00765335033553494,0.707862870385883,0.0052245623382438195,0.48760000967979433,0.007533013037868538,0.7617280739632603,0.008615239671291025,0.7579468784645356,0.01832134596592603,0.6718478804214654,0.034704175569907666,0.711419212428145,0.01627084631017667,0.8417714483262045,0.00632863757329222
7,0.4877746304273606,0.0018081963505033126,0.7612902146547003,0.002181949955227796,0.7589702939401999,0.003883548090771847,0.666847643540914,0.0027557883761631114,0.7099257707989459,0.0023766036968026565,0.4851759174346924,0.00507618444407807,0.763480790647799,0.006073159689181339,0.7592711324794934,0.027339703788235307,0.6772187209017397,0.031125279163998276,0.7147623034143964,0.007752029125756303,0.8440150232859918,0.004954236053261521
8,0.48251581540107724,0.0032837054125010746,0.7640940065040773,0.001734275701130377,0.7613061359554287,0.002238213478728486,0.6722196558692058,0.003678889487123072,0.7139890882670399,0.0024727271628885083,0.47949725379943847,0.004917256355971615,0.7663340943831266,0.006142238251772907,0.7820051367393874,0.00783820636261681,0.6473866862697051,0.027270615683970007,0.7079218248681464,0.013535297993727918,0.8474869685251235,0.0037050897039295934
9,0.4756686936318874,0.0024778836105365846,0.7689004941717259,0.0015355328729299914,0.7667982827288186,0.0022429645048408255,0.6789060192272365,0.003809786820506208,0.7201726419614796,0.0022675857874985073,0.4800196224212646,0.0076556409759611175,0.7644318292206771,0.008861104014546822,0.7511330940870554,0.022869624469005298,0.6942473576737727,0.03949145679117967,0.7204150939120113,0.014591357730923486,0.8473529092231926,0.006096040691405551
10,0.4716955729424953,0.0018698679307217975,0.7699269141041772,0.0013941921115242601,0.7674124539685465,0.0017842115993955254,0.6812491784540649,0.0041599012095516995,0.7217596539083504,0.002300263898219642,0.47482594742774964,0.006710272540140831,0.7673856717491757,0.004560922219749023,0.7702536413991781,0.028115978666185676,0.6729953769500939,0.04790710295812187,0.7162976189635766,0.017033049050030027,0.8510810193560744,0.004885629828083003
