epoque,train_loss_moy,val_loss_moy,train_accuracy_moy,val_accuracy_moy,train_precision_moy,val_precision_moy,train_recall_moy,val_recall_moy,train_f1_moy,val_f1_moy
1,0.4232205561399459,0.14305763938464225,0.9278652806222987,0.9797726376799242,0.89887075183728,0.9819913066036581,0.9499651133835446,0.9716540063709875,0.9210086908734458,0.9767906629527661
2,0.10943543328642844,0.08189276958582922,0.9806488748676905,0.9809242023235102,0.9809360800781732,0.9809203860774909,0.9747685261159758,0.9754253695989545,0.9778412548825255,0.978161856265212
3,0.08219878103137017,0.07472322302637621,0.9817128064825915,0.9813748281997464,0.9812034923242278,0.9804002853729618,0.9769687955422203,0.9770259576901086,0.9790810903463676,0.978700134650089
4,0.07498526287972926,0.07297846482833847,0.9823511740684244,0.9809742774361793,0.9817824578430366,0.981696900051572,0.9778546322944093,0.9747400473740097,0.979814320479418,0.9782017708259911
5,0.07180748915672303,0.07171145614702254,0.9825013727688703,0.9813748532686389,0.9816786083140332,0.9823847585220313,0.978311807809279,0.9749683574287348,0.9799920507535653,0.9786552594564453
6,0.06925767700076103,0.07017553645418957,0.982989533037365,0.9811244024986164,0.9824171175431049,0.9799484361775719,0.9786832608740024,0.976911802662746,0.9805465427796678,0.9784234569719908
7,0.06787983214557172,0.0695434249821119,0.9830646355210032,0.9813747905964079,0.9823658321181897,0.9803991050702962,0.9789119017002428,0.9770260883770318,0.9806352517362168,0.9787061944690395
8,0.06684908022284507,0.06985879821586423,0.9831522520823915,0.9814749909595306,0.982313774993916,0.9794158091490459,0.979169064968465,0.9782833619210978,0.9807384705662056,0.9788427398799175
9,0.06573823035359382,0.06901906284620055,0.9836529319121133,0.9817753789633136,0.9823887068630285,0.9804119203212627,0.9802548935562223,0.9779405047782406,0.9813203679157197,0.979170657311555
10,0.06557972977459432,0.06892256385181099,0.9837280296956286,0.9816752162035293,0.9828891326935917,0.979752523801762,0.9799119955912069,0.9783977783223066,0.9813982228630996,0.9790700737357527
