epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,learning_rate
1,0.3541917740634293,0.9584438992640064,0.9468457284730843,0.9589667390558921,0.9528676888131743,5.12878198709283e-05
2,0.09375343964120765,0.9806238421869524,0.9798026164792288,0.9758829580523488,0.9778388593025253,5.12878198709283e-05
3,0.07736378489358789,0.9819756671506534,0.9811861879086842,0.9775974397073951,0.979388526279629,5.12878198709283e-05
4,0.07253941519268949,0.9822260051068943,0.981417756366139,0.9779403360384044,0.9796759603824354,5.12878198709283e-05
5,0.06981183485288149,0.9820758023331497,0.9809698498223088,0.9780546348154074,0.9795100732600732,5.12878198709283e-05
6,0.06857942276082601,0.9830270865668652,0.9822247706422018,0.9789690250314321,0.980594195431908,5.12878198709283e-05
7,0.07340377515810691,0.9824763430631352,0.9812077460753982,0.978740427477426,0.9799725337605859,5.12878198709283e-05
8,0.06761440383211063,0.9830270865668652,0.9815620705451213,0.9796548176934506,0.9806075167324524,2.0515127948371322e-05
9,0.06460697523312299,0.9834276272968507,0.9824621733149931,0.9796548176934506,0.9810564871516053,2.0515127948371322e-05
10,0.06371553411564915,0.9838281680268363,0.9825887743413516,0.9804549091324722,0.9815206819612106,2.0515127948371322e-05
