epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.6709195034980774,0.5921994692835327,0.5618092509209988,0.31375014287347125,0.40264026402640263,0,0,0,0,0
2,0.6638350652694702,0.6063685976067691,0.5823584029712163,0.3584409646816779,0.44375265317673696,0,0,0,0,0
3,0.6607250507354736,0.6135783307465078,0.5969531690803085,0.36278431820779516,0.45130100952651786,0,0,0,0,0
4,0.6510915108680725,0.627447053522255,0.6280344557556774,0.3666704766259001,0.46301508262971786,0,0,0,0,0
5,0.6424175089359283,0.6402643568817904,0.641002524341868,0.40633215224597097,0.49737670514165794,0,0,0,0,0
6,0.6420023937225342,0.639613478195564,0.6376220053238687,0.4106755057720882,0.4995828698553949,0,0,0,0,0
7,0.6378789016246795,0.6436188854954188,0.6417028670721112,0.42210538347239684,0.509238830667402,0,0,0,0,0
8,0.636798863697052,0.6481249687077555,0.6447921924953727,0.4379929134758258,0.5216444323441328,0,0,0,0,0
9,0.6355330850601196,0.6487758473939819,0.6475995914198162,0.4347925477197394,0.5202762770977227,0,0,0,0,0
10,0.6328766952991486,0.6498272668101938,0.6494634644864589,0.4358212367127672,0.5216142270861833,0,0,0,0,0
