train_sizes,accuracy_train_mean,accuracy_train_std,accuracy_test_mean,accuracy_test_std,f1_train_mean,f1_train_std,f1_test_mean,f1_test_std,precision_train_mean,precision_train_std,precision_test_mean,precision_test_std,recall_train_mean,recall_train_std,recall_test_mean,recall_test_std,loss_train_mean,loss_train_std,loss_test_mean,loss_test_std,loss_type
1797,0.9836393989983305,0.0023372287145242087,0.7211235521951597,0.0089081277897123,0.9807396688582006,0.0029507062191324158,0.6543870004675776,0.013758038875805128,0.9974751805136475,0.00038310122264021427,0.7156080964267618,0.010925738509623572,0.9645773772217063,0.006010798926140315,0.603041647597254,0.018856418294629175,0.052859458610422363,0.004839983834731434,0.7697620423172454,0.01741336593872729,Squared Hinge Loss
3595,0.9780528511821975,0.0009179415855354534,0.7496118301576489,0.011081457751591675,0.974075564825658,0.0010494574671670535,0.6988571718096726,0.013982902917895747,0.9938997034415328,0.0007504946209747421,0.7384625067355799,0.014005260430821235,0.9550326022922022,0.0026796568189806826,0.6633932657731286,0.016329059474801483,0.0714501387720792,0.001958670151773522,0.7193525573585469,0.018523964548773968,Squared Hinge Loss
5392,0.9753709198813058,0.0007903292193123987,0.7733935989068688,0.008754784498234374,0.9709212837963059,0.0009051256007679256,0.729694265468824,0.011730336466196077,0.9913750252438701,0.0012678612963053922,0.7639750950168898,0.009668275526701695,0.9513004873366315,0.0024235186789022794,0.698483425956195,0.0160434200590641,0.08140965401299678,0.0006955018038681544,0.6716120264275043,0.023296146275496258,Squared Hinge Loss
7190,0.9732406119610569,0.00040405671895227973,0.7927203618240173,0.011266788766544076,0.968402009206993,0.00047689043613296,0.7536748946554344,0.014402368746368315,0.9896986595008889,0.001672642639313296,0.7857673591741543,0.01163861538252011,0.9480063056034786,0.0012240693840478631,0.7242026806145799,0.018401516977102322,0.09160579373987204,0.000821104255667893,0.6379398969446974,0.02626885566714385,Squared Hinge Loss
8987,0.9711249582730611,0.0004401922876344217,0.8077406399890125,0.007784703195772562,0.9658603448225431,0.0005086579696829353,0.7723676436392202,0.010474000283437356,0.9878364591505238,0.0008733459248282754,0.8020812515199858,0.007242867930792102,0.94484247915152,0.0012073580891081783,0.7448887871853547,0.015405533178639132,0.10014778198248589,0.0008609737332366986,0.6106908340027466,0.021031538797055008,Squared Hinge Loss
10785,0.9691608715808993,0.0008500077245333779,0.8221597411131712,0.008741691068006738,0.9635987201695094,0.0009951875641458123,0.7904580772243925,0.010830068119971552,0.9853840899898862,0.0011306195592753795,0.8166997673311709,0.009635375490108546,0.9427566878862969,0.00125455677089267,0.7659201046093495,0.013872290069108853,0.10844878277344425,0.0010011435125564397,0.5787437305908592,0.020118145837987846,Squared Hinge Loss
12582,0.9671514862501989,0.0007540422835910386,0.8381823736605909,0.0082645599028254,0.9612937556309277,0.0008943035530427944,0.8097818813899865,0.010260412010360851,0.9833321521270578,0.0013389739358293103,0.8345647215075342,0.008823938917971872,0.9402228640746321,0.001077867808192554,0.7864928407976464,0.01338204788171099,0.11474548235106345,0.0009354079309268542,0.5375122457904158,0.023800111479211652,Squared Hinge Loss
14380,0.9662517385257303,0.0006989132911962263,0.8494473191268386,0.007250940616198198,0.9604276185819824,0.0008864802942009918,0.8231096809515656,0.008785323143383492,0.9817826426896874,0.001063276331811592,0.8479857518887488,0.009694100789360513,0.939985200028941,0.0019126678721515294,0.7997508989865969,0.011926799149641431,0.11819873658704641,0.0017706521970219488,0.5011493217809828,0.025666075408273772,Squared Hinge Loss
16177,0.9641342646967919,0.0006965230151945761,0.8633159448883033,0.006186575908562434,0.9582144499781379,0.0008087722970580398,0.8399706348976373,0.0072548739784047455,0.9794627105550264,0.0012562370154212083,0.8622026106248928,0.009417061605911518,0.9378701422259448,0.0011646491250337165,0.818952991173586,0.01004680791176935,0.12371034161006551,0.0010410152547767192,0.462860554575024,0.02720444763358391,Squared Hinge Loss
17975,0.9623310152990264,0.0007585061643893915,0.8771344704744803,0.00538611177086051,0.9560485283405183,0.0008946633687114228,0.8561648062648122,0.006764070335896789,0.9777879618168589,0.0010621890243797368,0.8785543950018354,0.005880449940000616,0.9352560736359568,0.0013229355117990694,0.8349552141222623,0.010589973279660426,0.12877427207589948,0.0009986407990453456,0.4286494333677977,0.024769665116143837,Squared Hinge Loss
