false_positive_rate,true_positive_rate,threshold,specificity,sensitivity,youden_j
0.0,0.0,inf,1.0,0.0,0.0
0.0,0.00102880658436214,0.99997604,1.0,0.00102880658436214,0.00102880658436214
0.0,0.060699588477366256,0.9997545,1.0,0.060699588477366256,0.060699588477366256
0.0008019246190858059,0.060699588477366256,0.99975353,0.9991980753809142,0.060699588477366256,0.05989766385828045
0.0008019246190858059,0.07304526748971193,0.9996816,0.9991980753809142,0.07304526748971193,0.07224334287062613
0.0016038492381716118,0.07304526748971193,0.99968123,0.9983961507618284,0.07304526748971193,0.07144141825154032
0.0016038492381716118,0.10493827160493827,0.99945396,0.9983961507618284,0.10493827160493827,0.10333442236676665
0.0016038492381716118,0.10699588477366255,0.99945015,0.9983961507618284,0.10699588477366255,0.10539203553549094
0.0016038492381716118,0.1419753086419753,0.9990872,0.9983961507618284,0.1419753086419753,0.1403714594038037
0.0024057738572574178,0.1419753086419753,0.9990834,0.9975942261427426,0.1419753086419753,0.1395695347847179
0.0024057738572574178,0.18724279835390947,0.9985637,0.9975942261427426,0.18724279835390947,0.18483702449665207
0.0032076984763432237,0.18724279835390947,0.9985397,0.9967923015236568,0.18724279835390947,0.18403509987756625
0.0032076984763432237,0.2191358024691358,0.99790937,0.9967923015236568,0.2191358024691358,0.21592810399279258
0.00400962309542903,0.2191358024691358,0.99787796,0.9959903769045709,0.2191358024691358,0.21512617937370676
0.00400962309542903,0.2273662551440329,0.99771297,0.9959903769045709,0.2273662551440329,0.2233566320486039
0.0048115477145148355,0.2273662551440329,0.9977048,0.9951884522854851,0.2273662551440329,0.22255470742951808
0.0048115477145148355,0.24588477366255143,0.99727064,0.9951884522854851,0.24588477366255143,0.2410732259480366
0.0056134723336006415,0.24588477366255143,0.9972608,0.9943865276663993,0.24588477366255143,0.2402713013289508
0.0056134723336006415,0.28189300411522633,0.9962656,0.9943865276663993,0.28189300411522633,0.2762795317816257
0.006415396952686447,0.28189300411522633,0.99620396,0.9935846030473136,0.28189300411522633,0.2754776071625399
0.006415396952686447,0.3734567901234568,0.98921025,0.9935846030473136,0.3734567901234568,0.36704139317077034
0.007217321571772253,0.3734567901234568,0.98891556,0.9927826784282278,0.3734567901234568,0.36623946855168454
0.007217321571772253,0.4002057613168724,0.9862212,0.9927826784282278,0.4002057613168724,0.39298843974510017
0.00801924619085806,0.4002057613168724,0.9860693,0.991980753809142,0.4002057613168724,0.3921865151260143
0.00801924619085806,0.4269547325102881,0.9824379,0.991980753809142,0.4269547325102881,0.41893548631943
0.008821170809943865,0.4269547325102881,0.9822813,0.9911788291900562,0.4269547325102881,0.4181335617003442
0.008821170809943865,0.4434156378600823,0.9794962,0.9911788291900562,0.4434156378600823,0.43459446705013843
0.009623095429029671,0.4434156378600823,0.97921515,0.9903769045709703,0.4434156378600823,0.43379254243105264
0.009623095429029671,0.4506172839506173,0.9774833,0.9903769045709703,0.4506172839506173,0.4409941885215876
0.010425020048115477,0.4506172839506173,0.97724354,0.9895749799518845,0.4506172839506173,0.4401922639025018
0.010425020048115477,0.4660493827160494,0.973789,0.9895749799518845,0.4660493827160494,0.45562436266793394
0.011226944667201283,0.4660493827160494,0.9736153,0.9887730553327987,0.4660493827160494,0.45482243804884814
0.011226944667201283,0.47016460905349794,0.97254896,0.9887730553327987,0.47016460905349794,0.4589376643862967
0.012028869286287089,0.47016460905349794,0.9725451,0.9879711307137129,0.47016460905349794,0.45813573976721084
0.012028869286287089,0.49588477366255146,0.9667937,0.9879711307137129,0.49588477366255146,0.48385590437626436
0.012830793905372895,0.49588477366255146,0.96671927,0.9871692060946271,0.49588477366255146,0.48305397975717856
0.012830793905372895,0.5010288065843621,0.9657218,0.9871692060946271,0.5010288065843621,0.4881980126789892
0.0136327185244587,0.5010288065843621,0.9656773,0.9863672814755413,0.5010288065843621,0.4873960880599034
0.0136327185244587,0.5082304526748971,0.9625937,0.9863672814755413,0.5082304526748971,0.4945977341504384
0.014434643143544507,0.5092592592592593,0.96257067,0.9855653568564555,0.5092592592592593,0.4948246161157148
0.015236567762630313,0.5092592592592593,0.96227664,0.9847634322373697,0.5092592592592593,0.494022691496629
0.015236567762630313,0.5164609053497943,0.9591,0.9847634322373697,0.5164609053497943,0.501224337587164
0.01603849238171612,0.5164609053497943,0.9585312,0.9839615076182839,0.5164609053497943,0.5004224129680781
0.01603849238171612,0.5699588477366255,0.9336685,0.9839615076182839,0.5699588477366255,0.5539203553549095
0.016840417000801924,0.5699588477366255,0.9331255,0.983159582999198,0.5699588477366255,0.5531184307358236
0.016840417000801924,0.5709876543209876,0.93213445,0.983159582999198,0.5709876543209876,0.5541472373201857
0.01764234161988773,0.5709876543209876,0.93151426,0.9823576583801122,0.5709876543209876,0.5533453127010999
0.01764234161988773,0.573045267489712,0.9297157,0.9823576583801122,0.573045267489712,0.5554029258698242
0.018444266238973536,0.573045267489712,0.9293734,0.9815557337610264,0.573045267489712,0.5546010012507384
0.018444266238973536,0.5751028806584362,0.92825675,0.9815557337610264,0.5751028806584362,0.5566586144194626
0.019246190858059342,0.5751028806584362,0.92794174,0.9807538091419407,0.5751028806584362,0.5558566898003768
0.019246190858059342,0.5843621399176955,0.9237979,0.9807538091419407,0.5843621399176955,0.5651159490596361
0.022453889334402566,0.5843621399176955,0.9221368,0.9775461106655974,0.5843621399176955,0.5619082505832929
0.022453889334402566,0.5946502057613169,0.91645324,0.9775461106655974,0.5946502057613169,0.5721963164269144
0.023255813953488372,0.5946502057613169,0.91477466,0.9767441860465116,0.5946502057613169,0.5713943918078285
0.023255813953488372,0.5967078189300411,0.91344225,0.9767441860465116,0.5967078189300411,0.5734520049765527
0.024057738572574178,0.5967078189300411,0.91198295,0.9759422614274258,0.5967078189300411,0.5726500803574669
0.024057738572574178,0.6039094650205762,0.90775526,0.9759422614274258,0.6039094650205762,0.579851726448002
0.024859663191659984,0.6039094650205762,0.90609664,0.97514033680834,0.6039094650205762,0.5790498018289162
0.024859663191659984,0.6100823045267489,0.9016271,0.97514033680834,0.6100823045267489,0.5852226413350889
0.026463512429831595,0.6100823045267489,0.90059847,0.9735364875701684,0.6100823045267489,0.5836187920969174
0.026463512429831595,0.6286008230452675,0.8845586,0.9735364875701684,0.6286008230452675,0.602137310615436
0.0272654370489174,0.6286008230452675,0.8836099,0.9727345629510826,0.6286008230452675,0.6013353859963502
0.0272654370489174,0.6327160493827161,0.88094366,0.9727345629510826,0.6327160493827161,0.6054506123337987
0.028869286287089013,0.6327160493827161,0.8802471,0.971130713712911,0.6327160493827161,0.603846763095627
0.028869286287089013,0.6337448559670782,0.8779936,0.971130713712911,0.6337448559670782,0.6048755696799892
