epoch,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,train_loss,val_loss
1,0.926410835214447,0.8459801264679313,0.9242248345336866,0.8433473507148865,0.9278871315282201,0.8466183574879227,0.9256401372520215,0.8444861862930142,0.947519310231802,2.411444447166595
2,0.978668171557562,0.9001806684733514,0.9773830845098661,0.8981234736521746,0.9796215322658695,0.8998479155483987,0.9783951464672154,0.8989019163001739,0.14117470997416603,0.9247310792123741
3,0.990293453724605,0.9069557362240289,0.990227087352437,0.906385256162687,0.9900607660326994,0.9044328144569691,0.9901434514847568,0.905331511162182,0.09090872244617108,0.6479007874255647
4,0.9924379232505643,0.9137308039747064,0.9922817149786387,0.9134503971311595,0.9923645365464622,0.9111424226158527,0.9923230067803568,0.9121929705621761,0.09648496537681227,0.4664151046291497
5,0.9926636568848759,0.9186991869918699,0.9924974034193079,0.9189174978968875,0.9926077786435095,0.9157944176060118,0.9925523794746682,0.9171785337533012,0.09986437959750918,0.46890502176823834
6,0.9940744920993227,0.9218608852755195,0.993777588224944,0.9215362314257827,0.9942018505360024,0.9196188942565754,0.9939865410022446,0.9205064053006522,0.10603132499123391,0.45626173068085873
7,0.9940744920993227,0.9182475158084914,0.9939092721681868,0.9181701197400673,0.994061262372292,0.915615494721775,0.9939848667510749,0.9167698733750784,0.10617147065056909,0.4265434220530601
8,0.99441309255079,0.916892502258356,0.9942664178663302,0.9167316575679405,0.9943909784769351,0.9142959384505278,0.9943284299379096,0.9154007177033493,0.1079550969822434,0.4591946155010508
9,0.9938487584650113,0.9155374887082204,0.99372065100235,0.9151899113572162,0.9937899026425027,0.9130882089819288,0.9937551940696756,0.9140527058208077,0.10974342468059271,0.4294328760522314
10,0.9940744920993227,0.919602529358627,0.9938035049627791,0.9188010202387199,0.9941737329032603,0.9178296654142065,0.9939862074705867,0.9182957401797406,0.11205292493709487,0.4311613068416947
