taille_entrainement,accuracy_train_moy,accuracy_train_std,accuracy_val_moy,accuracy_val_std,f1_train_moy,f1_train_std,f1_val_moy,f1_val_std,precision_train_moy,precision_train_std,precision_val_moy,precision_val_std,recall_train_moy,recall_train_std,recall_val_moy,recall_val_std,perte_train_moy,perte_train_std,perte_val_moy,perte_val_std,type_perte
1594,0.9775407779171894,0.00025094102885820925,0.7053773736042036,0.0038449789837027397,0.9732529002320186,0.00016086620262956153,0.6237058363533001,0.005949336704890925,0.9954142692750289,8.05523590333923e-05,0.7093453877524596,0.007983469683126975,0.9520568308886403,0.00023416430967575507,0.5566609491137793,0.00997282840956666,0.06581012414709779,0.0005899145934638971,0.7849629249190806,0.007222917926517291,Perte Hinge Quadratique
3189,0.9707745374725618,0.0011288805268109047,0.7387377265123191,0.005920173755866456,0.9650196206911993,0.0012269521354896008,0.680562830886674,0.007270837889188457,0.992743272847617,0.0009067461578400327,0.7340042060866491,0.008572977819486401,0.9388025607886747,0.0015118271167082306,0.6344196683819325,0.008187088539585472,0.0833730329152204,0.0010443347230024269,0.7243075228286463,0.013739855354939604,Perte Hinge Quadratique
4784,0.9689381270903009,0.0014578257336256538,0.7626162599950089,0.007678175203622564,0.962878679198222,0.0017197191333837001,0.7127900593122513,0.010334214157641165,0.9944303328909097,0.0013810507249426836,0.7594240096100886,0.008125043042083927,0.9332847416121126,0.004461266231665758,0.6715837621498,0.012419598840375485,0.09188476982202669,0.0011602141945731446,0.6813415859192574,0.014040984331012175,Perte Hinge Quadratique
6378,0.9674819692693634,0.0007970062732605205,0.7812280528878915,0.006121894580512261,0.9611601253416142,0.0009227649369122803,0.7375748653389682,0.0075438266213543916,0.9915817513945042,0.0014826873157916468,0.7784622458135496,0.009033102475871564,0.9325588280681089,0.0028926191543458797,0.7008576329331045,0.010049890242524817,0.10082971628906665,0.001609261939238339,0.6517110793237566,0.01676854518692082,Perte Hinge Quadratique
7973,0.9665872319076885,0.0007508656489199015,0.7986856807957523,0.003902717983549586,0.9602725277100342,0.0010410493530423662,0.7599329169154247,0.00511510997062027,0.9916866012017849,0.0015461759854910374,0.7967974315283358,0.0046140518460659275,0.9307945545324596,0.00254472682657696,0.7263579188107491,0.007137558163214283,0.10730007261898197,0.0006883304663085169,0.624892114104275,0.008691608699958253,Perte Hinge Quadratique
9568,0.963900501672241,0.0007495995433545878,0.8151399600130429,0.004745681583847136,0.9569417060052912,0.0008012436347797378,0.780137528862101,0.006639929157275036,0.9883629818696397,0.0009375219103933865,0.8155360088147221,0.004004591000315789,0.9274605098605099,0.0019921635101270967,0.7477415666094911,0.010470461422307226,0.11322626209652942,0.001142066727643304,0.5886363640745579,0.0029994032096045523,Perte Hinge Quadratique
11162,0.961924386310697,0.00018792489664398076,0.8316443015817463,0.0033914288711962854,0.9546858525025812,0.0002479925230953797,0.8008000715556165,0.004087939135084011,0.9871677468140476,0.001349178791751966,0.8326190931142585,0.006985885369689256,0.9242755530065985,0.0007551436475481188,0.771412235563179,0.007648709666410822,0.11986246037979933,0.0012153143296677509,0.5489494903925176,0.012202088082385085,Perte Hinge Quadratique
12757,0.9610253194324685,0.0007393478794419662,0.8460918456634842,0.004043821258509149,0.9538558047836881,0.0009332105857320012,0.8188074972343108,0.005239578694834763,0.9857311356043887,0.0015585608665480426,0.8466926141179247,0.006459868891422253,0.9239801551802179,0.001463339557558649,0.7927958833619212,0.009502841227817848,0.1245011921613147,0.0014173446640019325,0.5137604453221295,0.022157257179249167,Perte Hinge Quadratique
14352,0.9591276477146042,0.0004613418438474583,0.858432731263712,0.003942504138769197,0.951856539377354,0.0006950305495705258,0.8338473076145018,0.004962392690817165,0.9834139564003636,0.0008447301875931319,0.8594588658995697,0.007354754913474945,0.9222622100122099,0.000980012463376453,0.8098341909662665,0.009632676815850276,0.12937472124654578,0.0007035680899447858,0.4856204606203903,0.018754830010185068,Perte Hinge Quadratique
15947,0.9567442152128928,0.0005429199428585426,0.8711245944704131,0.002888685064588667,0.94908957749882,0.0006694065491270188,0.848663984659955,0.003824883448557254,0.9811112500382219,0.0009072412277106483,0.8751725733101671,0.005045906523750355,0.9190943747698572,0.0014932036138264762,0.8237850200114349,0.00797511527691832,0.13484743048674114,0.0015799580392253665,0.45162220219479127,0.021747256098682933,Perte Hinge Quadratique
