epoque,train_loss_moy,val_loss_moy,train_accuracy_moy,val_accuracy_moy,train_precision_moy,val_precision_moy,train_recall_moy,val_recall_moy,train_f1_moy,val_f1_moy
1,0.42322021946907046,0.1430572086945176,0.9278777970501103,0.9797726376799242,0.8988730903187611,0.9819913066036581,0.9499936848121159,0.9716540063709875,0.9210233531985459,0.9767906629527661
2,0.10943464942574502,0.08189175578299909,0.9806488748676905,0.9809242023235102,0.9809360800781732,0.9809203860774909,0.9747685261159758,0.9754253695989545,0.9778412548825255,0.978161856265212
3,0.08219902291595936,0.07472260022768751,0.9817128064825915,0.9813748281997464,0.9812034923242278,0.9804002853729618,0.9769687955422203,0.9770259576901086,0.9790810903463676,0.978700134650089
4,0.07498648992478847,0.07298291986808181,0.9823636912795898,0.9809742774361793,0.9818107096620569,0.981696900051572,0.9778546322944095,0.9747400473740097,0.9798283565050827,0.9782017708259911
5,0.07180735846757888,0.071710175415501,0.9825013727688703,0.9813748532686389,0.9816786083140332,0.9823847585220313,0.978311807809279,0.9749683574287348,0.9799920507535653,0.9786552594564453
6,0.06925796905755997,0.07017813883139752,0.9830145658929881,0.9811244024986164,0.9824458037163695,0.9799484361775719,0.9787118323025739,0.976911802662746,0.9805751714656111,0.9784234569719908
7,0.06788230326473713,0.06954251878196374,0.9830646355210032,0.9813747905964079,0.9823658321181897,0.9803991050702962,0.9789119017002428,0.9770260883770318,0.9806352517362168,0.9787061944690395
8,0.0668501127064228,0.06985550666577182,0.9831522520823915,0.9814749909595306,0.982313774993916,0.9794158091490459,0.979169064968465,0.9782833619210978,0.9807384705662056,0.9788427398799175
9,0.06574048605710267,0.06902072774246334,0.9836153810619711,0.9817753789633136,0.9823871975513979,0.9804119203212627,0.9801691711060764,0.9779405047782406,0.9812766546044356,0.979170657311555
10,0.0655806049928069,0.06892195398104377,0.983715513267817,0.9816752162035293,0.9828886635752798,0.979752523801762,0.9798834241626354,0.9783977783223066,0.981383645204249,0.9790700737357527
