alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
1e-05,balanced,0.1,0.15,optimal,elasticnet,0.8529640858451387
1e-05,balanced,0.1,0.15,invscaling,l2,0.7470617630488036
1e-05,balanced,0.1,0.15,invscaling,elasticnet,0.7470072584529976
1e-05,balanced,0.1,0.15,adaptive,l2,0.815656311522465
1e-05,balanced,0.1,0.15,adaptive,elasticnet,0.815656692876181
1e-05,balanced,0.1,0.5,constant,l2,0.815656311522465
1e-05,balanced,0.1,0.5,constant,elasticnet,0.816250310285654
1e-05,balanced,0.1,0.5,optimal,l2,0.8509259787571961
1e-05,balanced,0.1,0.5,optimal,elasticnet,0.856409539767886
1e-05,balanced,0.1,0.5,invscaling,l2,0.7470617630488036
1e-05,balanced,0.1,0.5,invscaling,elasticnet,0.7470107903466675
1e-05,balanced,0.1,0.5,adaptive,l2,0.815656311522465
1e-05,balanced,0.1,0.5,adaptive,elasticnet,0.816250310285654
0.0001,,0.001,0.15,constant,l2,0.5747253153818044
0.0001,,0.001,0.15,constant,elasticnet,0.5741156727928605
0.0001,,0.001,0.15,optimal,l2,0.7988276477037519
0.0001,,0.001,0.15,optimal,elasticnet,0.8053880407166055
0.0001,,0.001,0.15,invscaling,l2,0.5345401232182463
0.0001,,0.001,0.15,invscaling,elasticnet,0.5337408912720798
0.0001,,0.001,0.15,adaptive,l2,0.5747253153818044
0.0001,,0.001,0.15,adaptive,elasticnet,0.5741156727928605
0.0001,,0.001,0.5,constant,l2,0.5747253153818044
0.0001,,0.001,0.5,constant,elasticnet,0.573421656973036
0.0001,,0.001,0.5,optimal,l2,0.7988276477037519
0.0001,,0.001,0.5,optimal,elasticnet,0.8203809954825687
0.0001,,0.001,0.5,invscaling,l2,0.5345401232182463
0.0001,,0.001,0.5,invscaling,elasticnet,0.5323049786454279
0.0001,,0.001,0.5,adaptive,l2,0.5747253153818044
0.0001,,0.001,0.5,adaptive,elasticnet,0.573421656973036
0.0001,,0.01,0.15,constant,l2,0.7098300578413717
0.0001,,0.01,0.15,constant,elasticnet,0.7103801732752915
0.0001,,0.01,0.15,optimal,l2,0.7988276477037519
0.0001,,0.01,0.15,optimal,elasticnet,0.8053880407166055
0.0001,,0.01,0.15,invscaling,l2,0.5358391170687484
0.0001,,0.01,0.15,invscaling,elasticnet,0.5357628997589649
0.0001,,0.01,0.15,adaptive,l2,0.7098300578413717
0.0001,,0.01,0.15,adaptive,elasticnet,0.7103801732752915
0.0001,,0.01,0.5,constant,l2,0.7098300578413717
0.0001,,0.01,0.5,constant,elasticnet,0.7114447527738633
0.0001,,0.01,0.5,optimal,l2,0.7988276477037519
0.0001,,0.01,0.5,optimal,elasticnet,0.8203809954825687
0.0001,,0.01,0.5,invscaling,l2,0.5358391170687484
0.0001,,0.01,0.5,invscaling,elasticnet,0.5345760374143385
0.0001,,0.01,0.5,adaptive,l2,0.7098300578413717
0.0001,,0.01,0.5,adaptive,elasticnet,0.7114447527738633
0.0001,,0.1,0.15,constant,l2,0.7918624255549274
0.0001,,0.1,0.15,constant,elasticnet,0.7951331307924334
0.0001,,0.1,0.15,optimal,l2,0.7988276477037519
0.0001,,0.1,0.15,optimal,elasticnet,0.8053880407166055
0.0001,,0.1,0.15,invscaling,l2,0.5559990992508599
0.0001,,0.1,0.15,invscaling,elasticnet,0.5555019309258379
0.0001,,0.1,0.15,adaptive,l2,0.7918624255549274
0.0001,,0.1,0.15,adaptive,elasticnet,0.7951331307924334
0.0001,,0.1,0.5,constant,l2,0.7918624255549274
0.0001,,0.1,0.5,constant,elasticnet,0.8044956887317414
0.0001,,0.1,0.5,optimal,l2,0.7988276477037519
0.0001,,0.1,0.5,optimal,elasticnet,0.8203809954825687
0.0001,,0.1,0.5,invscaling,l2,0.5559990992508599
0.0001,,0.1,0.5,invscaling,elasticnet,0.5543700455920015
0.0001,,0.1,0.5,adaptive,l2,0.7918624255549274
0.0001,,0.1,0.5,adaptive,elasticnet,0.8044956887317414
0.0001,balanced,0.001,0.15,constant,l2,0.7512476554902513
0.0001,balanced,0.001,0.15,constant,elasticnet,0.7518792264784554
0.0001,balanced,0.001,0.15,optimal,l2,0.8117980788302848
0.0001,balanced,0.001,0.15,optimal,elasticnet,0.8146271294524079
0.0001,balanced,0.001,0.15,invscaling,l2,0.7381286647574453
0.0001,balanced,0.001,0.15,invscaling,elasticnet,0.7381274570844296
0.0001,balanced,0.001,0.15,adaptive,l2,0.7512476554902513
0.0001,balanced,0.001,0.15,adaptive,elasticnet,0.7518792264784554
0.0001,balanced,0.001,0.5,constant,l2,0.7512476554902513
0.0001,balanced,0.001,0.5,constant,elasticnet,0.7526939452493029
0.0001,balanced,0.001,0.5,optimal,l2,0.8117980788302848
