epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall
1,0.22806298291263696,0.9113302958994642,0.9098843411551574,0.9101821783411657,0.9096009404434939
2,0.18802517590148954,0.9405697691884043,0.9393114289888508,0.9423108902525104,0.9371162579460257
3,0.18515003959478854,0.9470284884594202,0.9458249204862248,0.9498859626977169,0.9430393002047195
4,0.18412866940704753,0.9490812597005958,0.947934641968293,0.9518755985826473,0.9452059972723081
5,0.18428582397871646,0.9511340309417714,0.950077947826206,0.953430459855513,0.947662540111498
6,0.1850990846249426,0.951284233715516,0.9502454164845318,0.9534115764102056,0.9479348041975595
7,0.18564846601768759,0.9515345716717569,0.95049449824953,0.9537506909982748,0.9481323372095798
8,0.18651145361025973,0.9519851799929905,0.9509757487618471,0.9539530359915107,0.94877270160679
9,0.18677598822814823,0.9514344364892605,0.9504039463342806,0.9535029750918373,0.9481314563432033
10,0.18726917341173702,0.9517348420367496,0.9507150803268055,0.9537580381218045,0.9484743526742125
