size,n_samples,train_loss,val_loss,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1
0.1,1772,0.5665616307304364,0.6150649834821963,0.7341986455981941,0.6598915989159891,0.824847250509165,0.6980108499095841,0.5126582278481012,0.39711934156378603,0.6323185011709602,0.5062295081967213
0.2,3544,0.514350530266459,0.5751167284082533,0.7714446952595937,0.7050587172538392,0.865988909426987,0.7680672268907563,0.5848938826466916,0.47016460905349794,0.6982116244411326,0.5832801531589024
0.3,5316,0.4898763227697061,0.5496666921014414,0.791196388261851,0.7172538392050587,0.8650341685649203,0.764525993883792,0.6350334448160535,0.51440329218107,0.7324011571841852,0.6150061500615006
0.4,7088,0.466773728942264,0.5330882124972116,0.8051636568848759,0.7330623306233063,0.8674551386623165,0.7717546362339515,0.6682375117813384,0.5565843621399177,0.754924578527063,0.6467423789599522
0.5,8860,0.4506131119195585,0.5186145938534164,0.8177200902934537,0.7547425474254743,0.8814060446780552,0.8113207547169812,0.681483362966726,0.5751028806584362,0.7686577854175619,0.6730885009030705
0.6,10632,0.4326514020944655,0.5013932754369936,0.8272197140707299,0.7696476964769647,0.8852327447833066,0.8271954674220963,0.7015051939792241,0.6008230452674898,0.7827321111768184,0.6960667461263409
0.7,12404,0.4230355809925332,0.49026366830092016,0.8336826830054821,0.7795844625112918,0.889267075107783,0.8379888268156425,0.7133236257735712,0.6172839506172839,0.7916372083627916,0.7109004739336493
0.8,14176,0.4109593279992303,0.4808415282452008,0.8388120767494357,0.7795844625112918,0.8904272151898734,0.8315068493150685,0.7222846141504893,0.6244855967078189,0.7975905748959163,0.7132784958871915
0.9,15948,0.40256511389829913,0.4723132008161615,0.8397291196388262,0.7854561878952123,0.8911935313763403,0.8390177353342428,0.7235621521335807,0.6327160493827161,0.7986767485822306,0.7214076246334311
1.0,17720,0.3943434140019511,0.46081439077262437,0.8442437923250564,0.7953929539295393,0.8945380135369116,0.8492597577388964,0.7311205454779365,0.6491769547325102,0.8046156024352258,0.7358600583090379
