epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,learning_rate
1,0.38422361376938546,0.9247484103539779,0.8706773071413956,0.9726825922962624,0.9188576364519786,5.12878198709283e-05
2,0.09616050449241499,0.9806238421869524,0.9798026164792288,0.9758829580523488,0.9778388593025253,5.12878198709283e-05
3,0.078197969206769,0.9819756671506534,0.9815176213982321,0.9772545433763858,0.979381443298969,5.12878198709283e-05
4,0.07352528549066395,0.9822260051068943,0.981417756366139,0.9779403360384044,0.9796759603824354,5.12878198709283e-05
5,0.07039185279422695,0.9820257347419016,0.9812987608994952,0.9775974397073951,0.9794446034926997,5.12878198709283e-05
6,0.06831012087263119,0.9826265458368798,0.9817660550458716,0.9785118299234198,0.9801362413418054,2.0515127948371322e-05
7,0.06651790712954132,0.9831772893406098,0.9821203438395415,0.9794262201394445,0.9807714318415932,2.0515127948371322e-05
8,0.06630269669375982,0.9831272217493616,0.981786941580756,0.9796548176934506,0.9807197208078265,8.206051179348529e-06
9,0.06505031605506209,0.9833775597056026,0.9821285370603735,0.9798834152474568,0.9810046916123126,8.206051179348529e-06
10,0.06492335476265972,0.9834276272968507,0.9821305841924398,0.9799977140244599,0.9810629898735626,8.206051179348529e-06
