epoque,train_loss_moy,val_loss_moy,train_accuracy_moy,val_accuracy_moy,train_precision_moy,val_precision_moy,train_recall_moy,val_recall_moy,train_f1_moy,val_f1_moy
1,0.42561995513439177,0.14414480631239712,0.9361507978408042,0.9804235765412825,0.922442748740232,0.9826908242063578,0.9384209621782704,0.9724539410275259,0.9277836180881878,0.9775345275210444
2,0.11166805700063706,0.08313174413051456,0.9805862911619254,0.980573776810397,0.9805462911104229,0.9783886069026722,0.9750257138774927,0.97725452911868,0.9777779365324732,0.9778096574658287
3,0.08299098208844662,0.07536079391138628,0.9815876359376456,0.9810243525488482,0.9810312430040256,0.9791628648844808,0.9768544690057764,0.9774829698603285,0.978938383878892,0.9783216511901427
4,0.07566071660220623,0.07300757963676005,0.9822635528069131,0.981174552817963,0.981364065924857,0.9790603202912948,0.9780831955585493,0.9779401127174712,0.9797207136701539,0.9784996391307855
5,0.07251640499532222,0.07122174176038243,0.9823762061406935,0.9814749658906383,0.9814527043289993,0.980394110971122,0.9782546690343519,0.9772545944621417,0.9798504445118048,0.9788192763048473
6,0.07029301017820835,0.07211229398380965,0.9827642248030963,0.9806237641819425,0.9817999670352645,0.9803848381079738,0.9787975914926623,0.9753120640365923,0.9802962295202722,0.977820419596625
7,0.06795181180536747,0.07019400175777264,0.9832148334380953,0.9814249033124154,0.9824266013234852,0.9800751303252928,0.9791976159859572,0.977483165890713,0.9808091691932527,0.9787730250946526
8,0.06724980177283287,0.06998741391580551,0.983477692522506,0.9816251661597528,0.9825750365788158,0.9799621599294843,0.979654811911906,0.9780545944621416,0.9811125330075956,0.9790039311390238
9,0.06601150197088719,0.06951576916617341,0.9838907589242549,0.9818754665164204,0.982784924756329,0.9804131563401441,0.9803977588635112,0.9781688801764273,0.9815896991301349,0.9792871626851575
10,0.06586278132796289,0.06948192736017518,0.9837530680347284,0.9815250159344148,0.9829735186467315,0.9803930530137575,0.9798834282448514,0.977368488115658,0.9814258980485944,0.9788776436000901
