alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
1e-05,balanced,0.1,0.15,invscaling,l2,0.7414321935320815
1e-05,balanced,0.1,0.15,invscaling,elasticnet,0.7414321935320815
1e-05,balanced,0.1,0.15,adaptive,l2,0.8211745137639713
1e-05,balanced,0.1,0.15,adaptive,elasticnet,0.8215424560288611
1e-05,balanced,0.1,0.5,constant,l2,0.8211745137639713
1e-05,balanced,0.1,0.5,constant,elasticnet,0.8221337637853259
1e-05,balanced,0.1,0.5,optimal,l2,0.856398631489031
1e-05,balanced,0.1,0.5,optimal,elasticnet,0.8617667716961129
1e-05,balanced,0.1,0.5,invscaling,l2,0.7414321935320815
1e-05,balanced,0.1,0.5,invscaling,elasticnet,0.741483571904138
1e-05,balanced,0.1,0.5,adaptive,l2,0.8211745137639713
1e-05,balanced,0.1,0.5,adaptive,elasticnet,0.8221337637853259
0.0001,,0.001,0.15,constant,l2,0.5081822650595612
0.0001,,0.001,0.15,constant,elasticnet,0.507789637600579
0.0001,,0.001,0.15,optimal,l2,0.8003286806392031
0.0001,,0.001,0.15,optimal,elasticnet,0.8068476681124388
0.0001,,0.001,0.15,invscaling,l2,0.4710824918305973
0.0001,,0.001,0.15,invscaling,elasticnet,0.47100747115023334
0.0001,,0.001,0.15,adaptive,l2,0.5081822650595612
0.0001,,0.001,0.15,adaptive,elasticnet,0.507789637600579
0.0001,,0.001,0.5,constant,l2,0.5081822650595612
0.0001,,0.001,0.5,constant,elasticnet,0.5069417543410628
0.0001,,0.001,0.5,optimal,l2,0.8003286806392031
0.0001,,0.001,0.5,optimal,elasticnet,0.821029167331047
0.0001,,0.001,0.5,invscaling,l2,0.4710824918305973
0.0001,,0.001,0.5,invscaling,elasticnet,0.46943314797005
0.0001,,0.001,0.5,adaptive,l2,0.5081822650595612
0.0001,,0.001,0.5,adaptive,elasticnet,0.5069417543410628
0.0001,,0.01,0.15,constant,l2,0.6867929866342835
0.0001,,0.01,0.15,constant,elasticnet,0.6874960359173361
0.0001,,0.01,0.15,optimal,l2,0.8003286806392031
0.0001,,0.01,0.15,optimal,elasticnet,0.8068476681124388
0.0001,,0.01,0.15,invscaling,l2,0.47223088352875625
0.0001,,0.01,0.15,invscaling,elasticnet,0.4720221269605888
0.0001,,0.01,0.15,adaptive,l2,0.6867929866342835
0.0001,,0.01,0.15,adaptive,elasticnet,0.6874960359173361
0.0001,,0.01,0.5,constant,l2,0.6867929866342835
0.0001,,0.01,0.5,constant,elasticnet,0.6895182594487449
0.0001,,0.01,0.5,optimal,l2,0.8003286806392031
0.0001,,0.01,0.5,optimal,elasticnet,0.821029167331047
0.0001,,0.01,0.5,invscaling,l2,0.47223088352875625
0.0001,,0.01,0.5,invscaling,elasticnet,0.47160687531035517
0.0001,,0.01,0.5,adaptive,l2,0.6867929866342835
0.0001,,0.01,0.5,adaptive,elasticnet,0.6895182594487449
0.0001,,0.1,0.15,constant,l2,0.7913373211936343
0.0001,,0.1,0.15,constant,elasticnet,0.7959485420034299
0.0001,,0.1,0.15,optimal,l2,0.8003286806392031
0.0001,,0.1,0.15,optimal,elasticnet,0.8068476681124388
0.0001,,0.1,0.15,invscaling,l2,0.48979880100412754
0.0001,,0.1,0.15,invscaling,elasticnet,0.48932821594111997
0.0001,,0.1,0.15,adaptive,l2,0.7913373211936343
0.0001,,0.1,0.15,adaptive,elasticnet,0.7959485420034299
0.0001,,0.1,0.5,constant,l2,0.7913373211936343
0.0001,,0.1,0.5,constant,elasticnet,0.8050622071744573
0.0001,,0.1,0.5,optimal,l2,0.8003286806392031
0.0001,,0.1,0.5,optimal,elasticnet,0.821029167331047
0.0001,,0.1,0.5,invscaling,l2,0.48979880100412754
0.0001,,0.1,0.5,invscaling,elasticnet,0.48922459647044736
0.0001,,0.1,0.5,adaptive,l2,0.7913373211936343
0.0001,,0.1,0.5,adaptive,elasticnet,0.8050622071744573
0.0001,balanced,0.001,0.15,constant,l2,0.7526973798547801
0.0001,balanced,0.001,0.15,constant,elasticnet,0.753074523377886
0.0001,balanced,0.001,0.15,optimal,l2,0.81797523679341
0.0001,balanced,0.001,0.15,optimal,elasticnet,0.8220506131088431
0.0001,balanced,0.001,0.15,invscaling,l2,0.7350850436737305
0.0001,balanced,0.001,0.15,invscaling,elasticnet,0.7354960471176554
0.0001,balanced,0.001,0.15,adaptive,l2,0.7526973798547801
0.0001,balanced,0.001,0.15,adaptive,elasticnet,0.753074523377886
0.0001,balanced,0.001,0.5,constant,l2,0.7526973798547801
0.0001,balanced,0.001,0.5,constant,elasticnet,0.7535895875718206
0.0001,balanced,0.001,0.5,optimal,l2,0.81797523679341
0.0001,balanced,0.001,0.5,optimal,elasticnet,0.8316844410658402
0.0001,balanced,0.001,0.5,invscaling,l2,0.7350850436737305
0.0001,balanced,0.001,0.5,invscaling,elasticnet,0.736185300886474
0.0001,balanced,0.001,0.5,adaptive,l2,0.7526973798547801
0.0001,balanced,0.001,0.5,adaptive,elasticnet,0.7535895875718206
0.0001,balanced,0.01,0.15,constant,l2,0.779164260483969
0.0001,balanced,0.01,0.15,constant,elasticnet,0.7797956808744436
0.0001,balanced,0.01,0.15,optimal,l2,0.81797523679341
0.0001,balanced,0.01,0.15,optimal,elasticnet,0.8220506131088431
0.0001,balanced,0.01,0.15,invscaling,l2,0.7357503772672025
0.0001,balanced,0.01,0.15,invscaling,elasticnet,0.7363452755861031
0.0001,balanced,0.01,0.15,adaptive,l2,0.779164260483969
0.0001,balanced,0.01,0.15,adaptive,elasticnet,0.7797956808744436
0.0001,balanced,0.01,0.5,constant,l2,0.779164260483969
0.0001,balanced,0.01,0.5,constant,elasticnet,0.7802762836494809
0.0001,balanced,0.01,0.5,optimal,l2,0.81797523679341
0.0001,balanced,0.01,0.5,optimal,elasticnet,0.8316844410658402
0.0001,balanced,0.01,0.5,invscaling,l2,0.7357503772672025
0.0001,balanced,0.01,0.5,invscaling,elasticnet,0.7365290689661034
0.0001,balanced,0.01,0.5,adaptive,l2,0.779164260483969
0.0001,balanced,0.01,0.5,adaptive,elasticnet,0.7802762836494809
0.0001,balanced,0.1,0.15,constant,l2,0.8117826955272772
0.0001,balanced,0.1,0.15,constant,elasticnet,0.8134224362051203
0.0001,balanced,0.1,0.15,optimal,l2,0.81797523679341
0.0001,balanced,0.1,0.15,optimal,elasticnet,0.8220506131088431
0.0001,balanced,0.1,0.15,invscaling,l2,0.7413808057715792
0.0001,balanced,0.1,0.15,invscaling,elasticnet,0.7415635013459968
0.0001,balanced,0.1,0.15,adaptive,l2,0.8117826955272772
0.0001,balanced,0.1,0.15,adaptive,elasticnet,0.8134224362051203
0.0001,balanced,0.1,0.5,constant,l2,0.8117826955272772
0.0001,balanced,0.1,0.5,constant,elasticnet,0.817937229808849
0.0001,balanced,0.1,0.5,optimal,l2,0.81797523679341
0.0001,balanced,0.1,0.5,optimal,elasticnet,0.8316844410658402
0.0001,balanced,0.1,0.5,invscaling,l2,0.7413808057715792
0.0001,balanced,0.1,0.5,invscaling,elasticnet,0.7420606476763842
0.0001,balanced,0.1,0.5,adaptive,l2,0.8117826955272772
0.0001,balanced,0.1,0.5,adaptive,elasticnet,0.817937229808849
0.001,,0.001,0.15,constant,l2,0.4957974419000644
0.001,,0.001,0.15,constant,elasticnet,0.4910596171743271
0.001,,0.001,0.15,optimal,l2,0.6177235551892728
0.001,,0.001,0.15,optimal,elasticnet,0.6307230642227271
0.001,,0.001,0.15,invscaling,l2,0.47100747115023334
0.001,,0.001,0.15,invscaling,elasticnet,0.46711887853562717
0.001,,0.001,0.15,adaptive,l2,0.4957974419000644
0.001,,0.001,0.15,adaptive,elasticnet,0.4910596171743271
0.001,,0.001,0.5,constant,l2,0.4957974419000644
0.001,,0.001,0.5,constant,elasticnet,0.48474758122254613
0.001,,0.001,0.5,optimal,l2,0.6177235551892728
0.001,,0.001,0.5,optimal,elasticnet,0.6770730319999867
0.001,,0.001,0.5,invscaling,l2,0.47100747115023334
0.001,,0.001,0.5,invscaling,elasticnet,0.45866180584869937
0.001,,0.001,0.5,adaptive,l2,0.4957974419000644
0.001,,0.001,0.5,adaptive,elasticnet,0.48474758122254613
0.001,,0.01,0.15,constant,l2,0.6005748207807189
0.001,,0.01,0.15,constant,elasticnet,0.6085372292486038
0.001,,0.01,0.15,optimal,l2,0.6177235551892728
0.001,,0.01,0.15,optimal,elasticnet,0.6307230642227271
0.001,,0.01,0.15,invscaling,l2,0.47170913289602046
0.001,,0.01,0.15,invscaling,elasticnet,0.4682789146280607
0.001,,0.01,0.15,adaptive,l2,0.6005748207807189
0.001,,0.01,0.15,adaptive,elasticnet,0.6085372292486038
0.001,,0.01,0.5,constant,l2,0.6005748207807189
0.001,,0.01,0.5,constant,elasticnet,0.6257305755592155
0.001,,0.01,0.5,optimal,l2,0.6177235551892728
0.001,,0.01,0.5,optimal,elasticnet,0.6770730319999867
